CA,Université du Québec en Outaouais,http://www.uqo.ca/
CA,Université Laval,http://www.ulaval.ca/
CA,University Canada West,http://www.universitycanadawest.ca/
CA,University College of Cape Breton,http://www.uccb.ns.ca/
CA,University College of Saint-Boniface,http://www.ustboniface.mb.ca/
CA,University College of the Cariboo,http://www.cariboo.bc.ca/
CA,University College of the Fraser Valley,http://www.ucfv.bc.ca/
CA,University of Alberta,http://www.ualberta.ca/
CA,University of British Columbia,http://www.ubc.ca/
CA,University of Calgary,http://www.ucalgary.ca/
CA,University of Guelph,http://www.uoguelph.ca/
CA,University of King's College,http://www.ukings.ns.ca/
CA,University of Lethbridge,http://www.uleth.ca/
CA,University of Manitoba,http://www.umanitoba.ca/
CA,University of Moncton,http://www.umoncton.ca/
CA,"University of Moncton, Edmundston",http://www.cuslm.ca/
CA,"University of Moncton, Shippagan",http://www.cus.ca/
CA,University of New Brunswick,http://www.unb.ca/
CA,"University of New Brunswick, Saint John",http://www.unbsj.ca/
CA,University of Northern British Columbia,http://www.unbc.ca/
CA,University of Ontario Institute of Technology,http://www.uoit.ca/
CA,University of Ottawa,http://www.uottawa.ca/
CA,University of Prince Edward Island,http://www.upei.ca/
CA,University of Québec,http://www.uquebec.ca/
CA,University of Regina,http://www.uregina.ca/
CA,University of Saskatchewan,http://www.usask.ca/
CA,University of St. Jerome's College,http://www.usjc.uwaterloo.ca/
CA,University of St. Michael's College,http://www.utoronto.ca/stmikes/
CA,University of Sudbury,http://www.usudbury.com/
CA,University of Toronto,http://www.utoronto.ca/
CA,"University of Toronto, Mississauga",http://www.utm.utoronto.ca/
CA,"University of Toronto, Scarborough",http://www.scar.utoronto.ca/
CA,University of Trinity College,http://www.trinity.utoronto.ca/
CA,University of Victoria,http://www.uvic.ca/
CA,University of Waterloo,http://www.uwaterloo.ca/
CA,University of Western Ontario,http://www.uwo.ca/
CA,University of Windsor,http://www.uwindsor.ca/
CA,University of Winnipeg,http://www.uwinnipeg.ca/
CA,Vancouver Community College,http://www.vcc.ca/
CA,"Victoria University Toronto, University of Toronto",http://vicu.utoronto.ca/
CA,Wilfrid Laurier University,http://www.wlu.ca/
CA,William and Catherine Booth College,http://www.boothcollege.ca/
CA,York University,http://www.yorku.ca/
CA,Yukon College,http://www.yukoncollege.yk.ca/
